Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1039/c6ta10818k,2016,NaCr0.33Mn0.33Fe0.33O2,NCFM,900.0,12.0,Rate performance,,186.0,,8.33,0.04478494623655914,1.5,4.2,"{'Na': '1', 'Cr': '0.33', 'Mn': '0.33', 'Fe': '0.33', 'O': '2'}"
10.1016/j.elecom.2012.06.001,2012,NaCrO2,,900.0,5.0,Rate performance,,106.0,,5.0,0.04716981132075472,,,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1016/j.jpowsour.2016.10.084,2017,NaN3,,900.0,12.0,Rate performance,,315.0,,15.0,0.047619047619047616,1.5,4.3,"{'Na': '1', 'N': '3'}"
10.1016/j.cej.2022.138883,2023,P2-Na0.67Mg0.22Mn0.55Fe0.23O2,,900.0,10.0,Rate performance,,207.0,,10.0,0.04830917874396135,1.5,4.4,"{'Na': '0.67', 'Mg': '0.22', 'Mn': '0.55', 'Fe': '0.23', 'O': '2'}"
10.1016/j.cej.2022.138883,2023,P2-Na0.67Mg0.22Mn0.55Fe0.23O2,,900.0,10.0,Rate performance,,207.0,,10.0,0.04830917874396135,,,"{'Na': '0.67', 'Mg': '0.22', 'Mn': '0.55', 'Fe': '0.23', 'O': '2'}"
10.1039/d1ta05390f,2021,NaMnO2,,800.0,10.0,Rate performance,,244.0,,12.0,0.04918032786885246,2.0,3.8,"{'Na': '1', 'Mn': '1', 'O': '2'}"
10.1016/j.cej.2022.138883,2023,Na0.67Mg0.22Mn0.55Fe0.23O2,,900.0,10.0,Rate performance,,203.0,,10.0,0.04926108374384237,1.4,4.3,"{'Na': '0.67', 'Mg': '0.22', 'Mn': '0.55', 'Fe': '0.23', 'O': '2'}"
10.1016/j.electacta.2017.12.177,2018,Na0.7Li0.3Mn0.75O2,,800.0,12.0,Rate performance,,69.0,,3.4,0.049275362318840575,,,"{'Na': '0.7', 'Li': '0.3', 'Mn': '0.75', 'O': '2'}"
10.1016/j.ensm.2022.01.023,2022,O3-Na0.72Cr0.86Sb0.14O2,,1050.0,3.0,Rate performance,,176.86,,8.75,0.049474160352821435,1.5,4.1,"{'Na': '0.72', 'Cr': '0.86', 'Sb': '0.14', 'O': '2'}"
10.1016/j.ensm.2022.01.023,2022,O3-Na0.72Cr0.86Sb0.14O2,,1050.0,3.0,Rate performance,,175.0,,8.75,0.05,,,"{'Na': '0.72', 'Cr': '0.86', 'Sb': '0.14', 'O': '2'}"
10.1039/d2ta01775j,2022,Na0.67Ni0.67Te0.33O2,NNTO,950.0,72.0,Rate performance,,82.0,,,0.05,3.0,4.45,"{'Na': '0.67', 'Ni': '0.67', 'Te': '0.33', 'O': '2'}"
10.1016/j.ceramint.2019.08.011,2019,Na0.8Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,N0.8NFCMTO,900.0,15.0,Cycling performance,1.0,107.0,,,0.05,2.2,4.4,"{'Na': '0.8', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Co': '0.2', 'Ni': '0.2', 'O': '2'}"
10.1039/d1ta10329f,2021,Na0.66Li0.18Mn0.71Co0.08Ni0.21O2,,,,Cycling performance,1.0,200.0,,10.0,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.18', 'Mn': '0.71', 'Co': '0.08', 'Ni': '0.21', 'O': '2'}"
10.1016/j.ceramint.2019.08.011,2019,Na0.8Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,N0.8NFCMTO,900.0,15.0,Cycling performance,100.0,96.3,,,0.05,2.2,4.4,"{'Na': '0.8', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Co': '0.2', 'Ni': '0.2', 'O': '2'}"
10.1016/j.jpowsour.2020.227957,2020,Na0.67Ti0.16Mn0.67Ni0.17O2,NNMO,900.0,24.0,Cycling performance,120.0,,81.0,,0.05,1.5,4.1,"{'Na': '0.67', 'Ti': '0.16', 'Mn': '0.67', 'Ni': '0.17', 'O': '2'}"
10.1016/j.jpowsour.2019.227471,2020,NaFe0.3Co0.7O2,,900.0,12.0,Rate performance,,240.0,,,0.05,,,"{'Na': '1', 'Fe': '0.3', 'Co': '0.7', 'O': '2'}"
10.1039/d2ta01775j,2022,Na0.67Ni0.67Te0.33O2,NNTO,950.0,72.0,Cycling performance,500.0,,80.0,,0.05,,,"{'Na': '0.67', 'Ni': '0.67', 'Te': '0.33', 'O': '2'}"
10.1039/d2ta01775j,2022,Na0.67Ni0.67Te0.33O2,NNTO,950.0,72.0,Cycling performance,1.0,102.5,,,0.05,,,"{'Na': '0.67', 'Ni': '0.67', 'Te': '0.33', 'O': '2'}"
10.1039/c2cp44467d,2012,P2-Na0.67Mn0.67Ni0.33O2,,900.0,14.0,Rate performance,,75.7,,,0.05,2.3,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.ssi.2019.01.033,2019,Na0.9Ti0.55Ni0.45O2,,900.0,10.0,Rate performance,,109.6,,,0.05,0.01,4.25,"{'Na': '0.9', 'Ti': '0.55', 'Ni': '0.45', 'O': '2'}"
10.1016/j.ssi.2019.01.033,2019,Na0.9Ti0.55Ni0.45O2,,900.0,10.0,Cycling performance,1.0,109.6,,,0.05,0.01,4.25,"{'Na': '0.9', 'Ti': '0.55', 'Ni': '0.45', 'O': '2'}"
10.1039/d2ta01775j,2022,Na0.67Ni0.67Te0.33O2,NNTO,950.0,72.0,Cycling performance,500.0,82.0,,,0.05,,,"{'Na': '0.67', 'Ni': '0.67', 'Te': '0.33', 'O': '2'}"
10.1016/j.ceramint.2019.08.011,2019,Na0.8Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,N0.8NFCMTO,900.0,15.0,Cycling performance,20.0,,99.0,,0.05,2.0,4.0,"{'Na': '0.8', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Co': '0.2', 'Ni': '0.2', 'O': '2'}"
10.1039/c2cp44467d,2012,P2-Na0.67Mn0.67Ni0.33O2,,900.0,14.0,Rate performance,,62.4,,,0.05,2.3,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.electacta.2020.137471,2021,NaFeO2,,900.0,10.0,Cycling performance,1.0,244.0,,,0.05,2.0,4.8,"{'Na': '1', 'Fe': '1', 'O': '2'}"
10.1016/j.ceramint.2019.08.011,2019,Na0.8Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,N0.8NFCMTO,900.0,15.0,Cycling performance,100.0,96.62,,,0.05,2.2,4.4,"{'Na': '0.8', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Co': '0.2', 'Ni': '0.2', 'O': '2'}"
10.1016/j.ssi.2016.01.003,2016,Na0.7Mn0.3Co0.7O2,,850.0,12.0,Rate performance,,87.0,,,0.05,1.75,3.75,"{'Na': '0.7', 'Mn': '0.3', 'Co': '0.7', 'O': '2'}"
10.1039/c5ee01365h,2015,P2-Na0.67Mn0.5Fe0.5O2,,900.0,6.0,Cycling performance,25.0,13.0,,,0.05,,,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.ceramint.2019.08.011,2019,Na0.8Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,N0.8NFCMTO,900.0,15.0,Cycling performance,100.0,,79.0,,0.05,2.0,4.0,"{'Na': '0.8', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Co': '0.2', 'Ni': '0.2', 'O': '2'}"
10.1016/j.materresbull.2017.05.064,2017,NaTiO2,,900.0,12.0,Rate performance,,100.0,,,0.05,0.08,1.4,"{'Na': '1', 'Ti': '1', 'O': '2'}"
10.1016/j.ssi.2019.01.033,2019,Na0.9Ti0.55Ni0.45O2,,900.0,10.0,Rate performance,,44.5,,,0.05,0.01,4.25,"{'Na': '0.9', 'Ti': '0.55', 'Ni': '0.45', 'O': '2'}"
10.1016/j.ceramint.2019.08.011,2019,Na0.8Ti0.2Mn0.2Fe0.2Co0.2Ni0.2O2,N0.8NFCMTO,900.0,15.0,Cycling performance,100.0,,90.0,,0.05,2.2,4.4,"{'Na': '0.8', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Co': '0.2', 'Ni': '0.2', 'O': '2'}"
10.1016/j.jpowsour.2016.11.022,2017,P2-Na0.67MnO2,,600.0,10.0,Rate performance,,118.0,,,0.05,,,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.jpowsour.2016.11.022,2017,P2-Na0.67MnO2,,600.0,10.0,Rate performance,,138.8,,,0.05,,,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1039/c7cc02791e,2017,Na0.84CoO2,,900.0,12.0,Rate performance,,76.0,,,0.05,2.0,4.2,"{'Na': '0.84', 'Co': '1', 'O': '2'}"
10.1016/j.jallcom.2021.160027,2021,P2-Na0.67Mn0.67Ni0.33O2,NM,900.0,12.0,Rate performance,,126.1,,,0.05,2.0,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.jallcom.2021.160027,2021,P2-Na0.67Mn0.67Ni0.33O2,NM,900.0,12.0,Rate performance,,126.4,,,0.05,2.0,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.jallcom.2021.160027,2021,P2-Na0.67Mn0.67Ni0.33O2,NM,900.0,12.0,Rate performance,,137.0,,,0.05,2.0,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.jallcom.2021.160027,2021,Na0.67Y0.02Mn0.67Ni0.31O2,NMY-2,900.0,12.0,Cycling performance,60.0,,98.1,,0.05,2.0,4.5,"{'Na': '0.67', 'Y': '0.02', 'Mn': '0.67', 'Ni': '0.31', 'O': '2'}"
10.1039/c6ta08661f,2016,NaNi0.67Sb0.33O2,,750.0,12.0,Cycling performance,50.0,96.0,,,0.05,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Sb': '0.33', 'O': '2'}"
10.1016/j.jallcom.2019.152581,2020,O3-NaZr0.05Ti0.2Mn0.3Ni0.45O2,NaNMTZ5,950.0,12.0,Rate performance,,134.3,,,0.05,2.0,4.0,"{'Na': '1', 'Zr': '0.05', 'Ti': '0.2', 'Mn': '0.3', 'Ni': '0.45', 'O': '2'}"
