Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.cplett.2021.139050,2021,P2-Na0.59Ti0.1V0.05Mn0.85Co0.1O2,NCMTV,1000.0,12.0,Cycling performance,50.0,,77.37,,0.1,2.0,4.0,"{'Na': '0.59', 'Ti': '0.1', 'V': '0.05', 'Mn': '0.85', 'Co': '0.1', 'O': '2'}"
10.1016/j.electacta.2015.02.043,2015,NaLi0.2Mn0.8O2,,730.0,20.0,Cycling performance,1.0,300.0,,,0.1,1.5,4.5,"{'Na': '1', 'Li': '0.2', 'Mn': '0.8', 'O': '2'}"
10.1016/j.electacta.2015.02.043,2015,NaLi0.2Mn0.8O2,,730.0,20.0,Cycling performance,40.0,234.0,,,0.1,1.5,4.5,"{'Na': '1', 'Li': '0.2', 'Mn': '0.8', 'O': '2'}"
10.1016/j.jpowsour.2018.02.053,2018,P2-Na0.67Mn0.67Ni0.33O2,,900.0,16.0,Rate performance,,86.0,,,0.1,2.2,3.9,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.jpowsour.2018.06.058,2018,Na0.67Li0.2,,900.0,24.0,Cycling performance,1.0,151.0,,15.0,0.1,1.5,4.3,"{'Na': '0.67', 'Li': '0.2'}"
10.1016/j.jpowsour.2018.06.058,2018,Na0.67Li0.2,,900.0,24.0,Cycling performance,50.0,117.8,,15.0,0.1,1.5,4.3,"{'Na': '0.67', 'Li': '0.2'}"
10.1016/j.electacta.2015.01.118,2015,O3-Na0.8Ti0.5Co0.2Ni0.3O2,,950.0,15.0,Rate performance,,80.0,,,0.1,2.5,4.2,"{'Na': '0.8', 'Ti': '0.5', 'Co': '0.2', 'Ni': '0.3', 'O': '2'}"
10.1016/j.colsurfa.2021.127929,2022,O3-Na0.9Cr0.5Fe0.5O2,NCF,900.0,12.0,Cycling performance,100.0,,69.32,,0.1,2.0,4.0,"{'Na': '0.9', 'Cr': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.electacta.2015.01.118,2015,O3-Na0.8Ti0.5Co0.2Ni0.3O2,,950.0,15.0,Cycling performance,1.0,84.0,,,0.1,2.5,4.2,"{'Na': '0.8', 'Ti': '0.5', 'Co': '0.2', 'Ni': '0.3', 'O': '2'}"
10.1016/j.electacta.2014.10.151,2014,NaFeO2,,900.0,16.0,Cycling performance,100.0,200.0,,20.0,0.1,2.5,4.5,"{'Na': '1', 'Fe': '1', 'O': '2'}"
10.1016/j.jpowsour.2018.06.058,2018,Na0.67Li0.2,,900.0,24.0,Cycling performance,50.0,,78.0,15.0,0.1,1.5,4.3,"{'Na': '0.67', 'Li': '0.2'}"
10.1016/j.jpowsour.2018.06.058,2018,O3-Na0.66Li0.18Mn0.71Co0.08Ni0.21O2,,900.0,24.0,Rate performance,,150.0,,15.0,0.1,1.5,4.3,"{'Na': '0.66', 'Li': '0.18', 'Mn': '0.71', 'Co': '0.08', 'Ni': '0.21', 'O': '2'}"
